t,range
251.017,0.19199223995005504
251.217,0.183565952310998
251.317,0.17696955916915713
251.417,0.17462746474813015
251.617,0.2182594898605803
251.717,0.20411970389984874
251.917,0.22190995593432272
252.017,0.22726317994196193
252.117,0.23081987839582585
252.217,0.24626356345973077
252.317,0.30642633064549624
252.417,0.30079884840309473
252.519,0.32452719261707375
252.717,0.36881888737141866
252.817,0.42930782816709273
252.917,0.42057478264257503
253.017,0.41738715481607835
253.117,0.41366620422286887
253.317,0.4131598262788773
253.417,0.4461839708443105
253.517,0.4062458427226686
253.617,0.4203844391475001
253.717,0.4092215910981775
253.817,0.4015199454032181
253.917,0.3966981313053747
254.017,0.42048311137624145
254.117,0.3850133451373047
254.217,0.3851129166917328
254.417,0.3884562274824294
254.517,0.3995000603618697
254.617,0.3687883428311043
254.817,0.3293513938888147
254.917,0.3087485746562236
255.117,0.24903724607914554
255.217,0.25332519547035015
255.317,0.2266984862258447
255.517,0.23446946688788273
255.617,0.21831288326901277
255.717,0.2491454004805465
255.817,0.2623646469465614
255.917,0.22592814931861926
256.017,0.21905222667917645
256.217,0.22728701911220603
256.317,0.21162563488532612
256.417,0.211103065713368
256.617,0.16080692897658927
256.717,0.16554314347709206
256.818,0.16368562042446536
257.017,0.10786211647199125
257.117,0.1387594583148235
257.318,0.1358017254919333
257.417,0.08338930629242233
257.517,0.10050717771214517
257.617,0.1088197500038008
257.717,0.10480926232505275
257.817,0.10727928872362633
257.917,0.0927731761465301
258.017,0.12737680239272325
258.117,0.14154086571621372
258.217,0.12408779691568675
258.318,0.10299301509828734
258.418,0.0963917523301765
258.518,0.12424900880414534
258.718,0.12777380749198503
258.818,0.13013585742407252
258.918,0.11083051407537386
259.118,0.14763365792618888
259.218,0.1415170779512251
259.318,0.12832882700338136
259.418,0.1437129304864992
259.518,0.15619641323804503
259.618,0.1777286468680619
259.818,0.42361586936258167
259.918,0.4256699655246359
260.118,0.43376934193014205
260.218,0.4235282876675089
260.318,0.4323107327163042
260.518,0.428408953456478
260.618,0.4149184232968185
260.718,0.4245894845526056
260.818,0.42577997790977057
